date,day,gross_sales,returns,discounts_comps,net_sales,gift_card_sales,tax,tip,refunds_by_amount,total_collected,cash,card,gift_card,fees,is_store_open
2023-01-01,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-02,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-03,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-04,Wednesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-05,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-06,Friday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-07,Saturday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-08,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-09,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-10,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-11,Wednesday,972.23,0.0,-12.13,960.1,0.0,94.22,58.52,0.0,1112.87,56.0,1056.87,0.0,-17.7,1
2023-01-12,Thursday,1316.28,0.0,-51.6,1264.68,0.0,113.85,66.53,0.0,1445.05,118.05,1284.91,42.09,-25.7,1
2023-01-13,Friday,1354.81,0.0,-24.1,1330.71,0.0,118.38,78.79,0.0,1527.88,80.35,1422.53,25.0,-24.01,1
2023-01-14,Saturday,2419.78,0.0,-31.97,2387.81,75.0,215.01,177.15,0.0,2855.0,203.55,2651.45,0.0,-43.19,1
2023-01-15,Sunday,1423.06,-23.0,-107.92,1292.14,0.0,111.4,128.24,0.0,1531.78,54.6,1477.18,0.0,-26.27,1
2023-01-16,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-17,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-01-18,Wednesday,994.16,0.0,-9.05,985.11,0.0,94.63,72.28,0.0,1152.05,122.5,1029.55,0.0,-22.07,1
2023-01-19,Thursday,1193.0,0.0,-14.57,1178.43,0.0,97.08,53.41,0.0,1328.89,88.7,1240.19,0.0,-19.23,1
2023-01-20,Friday,1259.45,0.0,-24.95,1234.5,100.0,101.18,84.55,0.0,1520.23,162.4,1357.83,0.0,-24.85,1
2023-01-21,Saturday,2749.15,0.0,-50.96,2698.19,0.0,202.88,164.33,0.0,3065.41,161.5,2903.91,0.0,-50.29,1
2023-01-22,Sunday,1317.49,0.0,-21.1,1296.39,0.0,98.96,120.88,0.0,1516.21,125.7,1390.51,0.0,-23.02,1
2023-01-23,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
